Disease,Date,Location (state/province level),No. of Cases,Source
Dengue,June 2026 (EpiWeek 22),"Southern Cone Sub-region (led by Brazil), South America","26,013 new weekly cases",PAHO/WHO Epidemiological Report
Dengue,June 2026 (EpiWeek 22),"Andean Sub-region (Venezuela, Colombia, Peru), South America","5,624 new weekly cases (uptick in Venezuela)",PAHO/WHO Epidemiological Report
Chikungunya,Jan–July 2026,"Goiás, Mato Grosso do Sul, Minas Gerais, São Paulo, Brazil","101,588 cumulative cases",PAHO / Global Health Update
Chikungunya,Jan–July 2026,"Santa Cruz, Cochabamba, La Paz, Tarija, Bolivia","41,354 cumulative cases",ECDC / PAHO Overview
Chikungunya,Jan–July 2026,"Salta and Tucumán, Argentina","11,852 cumulative cases",ECDC / PAHO Overview
Chikungunya,Jan–July 2026,"Nationwide, Suriname","7,484 cumulative cases",PAHO / BEACON Bio
Chikungunya,July 2026,"Guanacaste & Central Valley, Costa Rica",21 cases (Local outbreak alert),U.S. Embassy Costa Rica / Tico Times
Chikungunya,July 2026,"Matanzas, La Habana, Camagüey, Cienfuegos, Artemisa, Villa Clara, Cuba","1,457+ cumulative cases",ECDC Monthly Bulletin
Chikungunya,June 2026,"Mahajanga, Toamasina, Antsirabe, Madagascar",29 confirmed cases,ECDC / WHO AFRO
Chikungunya,June 2026,"Multiple Provinces, Pakistan",16 confirmed cases,ECDC Global Report
Chikungunya,July 2026 (EpiWeek 28),"Travel-acquired, New Zealand",1 confirmed travel case,Pacific Community (SPC) / ReliefWeb
Chikungunya,June 2026,"Kerala, India","617 confirmed (2,161 suspected) cases",WHO SEARO / UNITEDengue Update
Chikungunya,June 2026,"Multiple Provinces, Pakistan",16 confirmed cases,ECDC Monthly Bulletin
Zika,July 2026 (EpiWeek 28),"Auckland Region / Travel-acquired (Fiji), New Zealand","2 cases (1 confirmed, 1 probable)",Pacific Community (SPC) / ReliefWeb
Zika,"June 19, 2026","Skopje Region / Travel-acquired (Maldives), North Macedonia",1 confirmed case,NaTHNaC / TravelHealthPro
Zika,June–July 2026,"Greater London & South East England / Travel-acquired (Indonesia, Thailand, Maldives, Malaysia), United Kingdom",8 cumulative travel cases,UK Health Security Agency (UKHSA)
Zika,July 2026,"State of California, United States",0 reported cases,California Department of Public Health
Yellow Fever,June–July 2026,"Tolima Department, Colombia",53 cumulative cases (26 deaths),NaTHNaC / TravelHealthPro
Yellow Fever,June–July 2026,"Huila Department, Colombia",Active local transmission reported,BEACON Bio Report
Yellow Fever,June–July 2026,"Cauca Department, Colombia",Active local transmission reported,BEACON Bio Report
Yellow Fever,June–July 2026,"Putumayo Department, Colombia",Active local transmission reported,BEACON Bio Report
Yellow Fever,June–July 2026,"Grand Gedeh County, Liberia",1 confirmed case (21 suspected nationwide),NaTHNaC / NPHIL
Yellow Fever,June 2026,"São Paulo State, Brazil",9 confirmed cases (5 deaths),NaTHNaC / Brazil MoH
Yellow Fever,June 2026,"La Paz Department, Bolivia",1 fatal confirmed case (Apolo municipality),PAHO / WHO Global DON
Yellow Fever,June 2026,"Madre de Dios Department, Peru",2 confirmed cases,NaTHNaC / PAHO Updates
Yellow Fever,June 2026,"Orellana Province, Ecuador",1 fatal case (Joya de los Sachas Canton),Ecuador MoH / TravelHealthPro
Yellow Fever,June 2026,"Aragua State, Venezuela",Active sylvatic transmission reported,PAHO / WHO Regional Report
Ebola,July 2026 (as of July 21),"Ituri Province, Democratic Republic of the Congo","2,248 confirmed cases (864 deaths)",ECDC / WHO DON Report
Ebola,July 2026 (as of July 21),"North Kivu Province, Democratic Republic of the Congo",259 confirmed cases (152 deaths),ECDC / WHO DON Report
Ebola,July 2026 (as of July 21),"Haut-Uele Province, Democratic Republic of the Congo",21 confirmed cases (12 deaths),ECDC / WHO DON Report
Ebola,July 2026 (as of July 21),"Tshopo Province, Democratic Republic of the Congo",5 confirmed cases (4 deaths),ECDC / WHO DON Report
Ebola,July 2026 (as of July 21),"South Kivu Province, Democratic Republic of the Congo",3 confirmed cases (1 death),ECDC / WHO DON Report
Ebola,June–July 2026 (as of July 20),"Central Region (Kampala / Mulago Isolation), Uganda","20 cumulative cases (15 imported from DRC, 2 deaths)",WHO / UKHSA Monitoring
Ebola,July 2026 (Evacuated July 13),"Hesse (Frankfurt am Main), Germany",1 imported case (US worker evacuated from DRC),WHO Disease Outbreak News
Ebola,June 2026 (June 24 report),"Île-de-France, France",1 imported case (traveler from DRC),ECDC Threat Assessment
Marburg,June–July 2026 (Notified June 30),"Kyegegwa District (Western Region), Uganda",1 confirmed case (fatal),The BMJ / WHO Update
Nipah,"June 11, 2026 (WHO Update June 25)","Kozhikode District (Kerala State), India","1 lab-confirmed case (104 monitored contacts, 0 secondary cases)",WHO Disease Outbreak News
CCHF,June–July 2026 (as of July 12),"Dhi Qar Governorate, Iraq",109 cumulative confirmed cases (8 deaths),UKHSA / Iraq MoH
CCHF,June–July 2026 (as of July 12),"Basra Governorate, Iraq",24 confirmed cases (1 death),UKHSA / Iraq MoH
CCHF,June–July 2026 (as of July 12),"Maysan Governorate, Iraq",21 confirmed cases (0 deaths),UKHSA / Iraq MoH
CCHF,July 2026 (Reported July 10),"Province of Salamanca, Spain","1 fatal confirmed case (84-year-old male, tick bite)",Castilla y León MoH / ECDC
CCHF,June 2026 (Reported June 26),"Province of Salamanca, Spain",1 confirmed case (locally acquired),Castilla y León MoH / ECDC
CCHF,July 2026 (Reported July 8),"Kanungu District, Uganda","1 confirmed case (gold miner, 36 contacts monitored)",UKHSA Outbreak Monitoring
CCHF,June–July 2026 (as of July 12),"Dhi Qar Governorate, Iraq",109 cumulative confirmed cases (8 deaths),UKHSA / Iraq MoH
CCHF,June–July 2026 (as of July 12),"Basra Governorate, Iraq",24 confirmed cases (1 death),UKHSA / Iraq MoH
CCHF,June–July 2026 (as of July 12),"Maysan Governorate, Iraq",21 confirmed cases (0 deaths),UKHSA / Iraq MoH
CCHF,June–July 2026,"Wasit Governorate, Iraq",Active cases & livestock restriction alert,BEACON Bio Report
CCHF,June–July 2026,"Muthanna Governorate, Iraq",Active local transmission reported,IFRC ReliefWeb / Iraq MoH
CCHF,July 2026 (Reported July 10),"Province of Salamanca, Spain",1 fatal confirmed case (84-year-old male),Castilla y León MoH / ECDC
CCHF,June 2026 (Reported June 26),"Province of Salamanca, Spain",1 confirmed case (locally acquired),Castilla y León MoH / ECDC
CCHF,July 2026 (Reported July 8),"Kanungu District, Uganda",1 confirmed case (36 contacts monitored),UKHSA Outbreak Monitoring
MERS-CoV,--,--,--,--
RSV,--,--,--,--
Norovirus,"June 12 – July 2, 2026","California (San Francisco Port Arrival), United States","132 confirmed cases (107 passengers, 25 crew aboard Ruby Princess)",U.S. CDC Vessel Sanitation Program
Norovirus,"June 25 – June 30, 2026","Alaska (Juneau / Coastal Waters), United States","21 confirmed cases (19 passengers, 2 crew aboard National Geographic Sea Bird)",CDC VSP / Cruise Law News
Norovirus,June 2026 (Weeks 23–26),"All Regions / Countrywide, England (United Kingdom)",682 lab-confirmed cases (58.5% above 5-season average),UK Health Security Agency (UKHSA)
Norovirus,June 2026 (Seasonal update),"14 NoroSTAT States (e.g., Michigan, Ohio, Virginia), United States","1,287 cumulative seasonal outbreaks reported through June 11",U.S. CDC NoroSTAT Surveillance
Norovirus / Viral Gastro,June–July 2026 (as of July 19),"New South Wales, Australia",~420 hospital ED visits/week for acute gastroenteritis (~15–20 institutional norovirus outbreaks),NSW Health Surveillance Reports
Norovirus / Viral Gastro,June–July 2026 (Week 28 update),"Victoria, Australia",~12–15 reported institutional outbreaks/week (Aged care & childcare settings),Victoria Department of Health
Norovirus / Viral Gastro,June–July 2026 (Year-to-Date / Mid-Winter),"Queensland, Australia",~350–400 weekly clinical ED presentations for viral gastro,Queensland Health Notifiable Conditions
Hepatitis A,July 2026 (as of July 10),"New York State, United States",24 confirmed cases (Multistate frozen clam outbreak),U.S. CDC / FDA
Hepatitis A,July 2026 (as of July 10),"Pennsylvania, United States",4 confirmed cases (Multistate frozen clam outbreak),U.S. CDC / FDA
Hepatitis A,July 2026 (as of July 10),"Minnesota, United States",2 confirmed cases (Multistate frozen clam outbreak),U.S. CDC / FDA
Hepatitis A,June 2026 (as of June 2026 update),"Manitoba, Canada","601 cumulative cases (133 hospitalizations, 3 deaths)",Manitoba Health / BEACON
Hepatitis A,June–July 2026,"State of California (Los Angeles County), United States",12 confirmed cases in 2026 (209 cumulative community cases),LA County Department of Public Health
Hepatitis A,June 2026,"Vale of Glamorgan (Barry, Wales), United Kingdom",Active household outbreak cluster (~3 households affected),Public Health Wales
Hepatitis A,June–July 2026,"Budapest / Pest County, Hungary",76 cases in early 2026 (Continued elevated regional transmission),NNGYK / Portfolio.hu
Hepatitis A,June 2026 (FDA Alert update June 8),"Guayas Province, Ecuador",Origin region for contaminated frozen clam export outbreak,U.S. FDA / CDC Alert
Hepatitis A,June–July 2026,"Eastern Region, Ghana",Active local transmission & cluster monitoring,Ghana Health Service / BEACON
Hepatitis A,June–July 2026,"New South Wales, Australia",~3–5 sporadic cases/month (Low baseline surveillance level),Australian CDC / NSW Health
Cholera,10 July 2026,Darfur/Kordofan regions (Sudan),"1,300+",(Reuters)
Cholera,June 2026 (report as of 14 June),Malawi (Blantyre region context),882,(ECDC)
Cholera,July 2026 (Declared June 26),"Bangui / Bimbo / Mbaïki, Central African Republic",650 suspected cases (44 deaths),UN OCHA / UNICEF Flash Update
Cholera,July 2026 (as of July 7),"West Kordofan & Northern States, Sudan","1,330 confirmed cases (114 deaths)",UN News / WHO Update
Cholera,June 2026 (as of June 14),"Multiple Provinces (Kabul, etc.), Afghanistan","56,662 cumulative cases (28 deaths)",WHO Global Cholera Dashboard
Cholera,June 2026 (as of June 7),"Multiple Provinces, Democratic Republic of the Congo","30,297 cumulative cases (847 deaths)",WHO Global Cholera Dashboard
Cholera,June 2026 (as of June 7),"Multiple States (Lagos, Ogun, etc.), Nigeria","11,723 cumulative cases (117 deaths)",WHO Global Cholera Dashboard
Cholera,June 2026 (as of June 14),"Multiple States/Provinces, South Sudan","8,181 cumulative cases (86 deaths)",WHO Global Cholera Dashboard
Cholera,June 2026 (as of June 14),"Cabo Delgado / Nampula, Mozambique","7,564 cumulative cases (66 deaths)",WHO Global Cholera Dashboard
Cholera,June 2026 (as of June 7),"Multiple Governorates, Yemen","5,054 cumulative cases (7 deaths)",WHO Global Cholera Dashboard
Cholera,June 2026 (as of June 14),"Lilongwe / Southern Region, Malawi","3,191 cumulative cases (30 deaths)",WHO Global Cholera Dashboard
Cholera,July 2026 (Reported July 3),"Far North Region, Cameroon",Active outbreak cluster (11.84 attack rate per 100k),UNICEF Cameroon Situation Report
Cholera,June 2026 (as of May/June),"Ouest / Artibonite Departments, Haiti",529 cumulative cases (2 deaths),WHO / PAHO Surveillance
Typhoid Fever (S. Typhi),"July 1–19, 2026","Ahmedabad District (Gujarat State), India","184 confirmed cases (1,118 cumulative YTD)",Ahmedabad Municipal Corp / Times of India
Typhoid Fever (S. Typhi),July 2026 (as of July 22),"Pune District (Maharashtra State), India",">50% increase in OPD visits for gastro/typhoid (concentrated in Balewadi, Baner, Hinjewadi)",Times of India / Local Health Authorities
Typhoid Fever (S. Typhi),January–June 2026,"All Regions, United Kingdom",287 cumulative travel-associated enteric fever cases (Typhoid and Paratyphoid combined),UK Health Security Agency (UKHSA)
Typhoid Fever (S. Typhi),July 2026 (Week 27: July 5–11),"Nationwide (50 States & Territories), United States",5 reported weekly cases (~180–220 cumulative YTD imported cases),U.S. CDC NNDSS Weekly Tables
Typhoid Fever (S. Typhi),June 2026,"Gandhinagar District (Gujarat State), India",144 suspected cases (Point-source pipeline contamination cluster),BEACON Bio Epidemiological Report
Shigellosis,June–July 2026 (as of June 18),"Kozhikode District (Kerala State), India",74 confirmed cases (Regional outbreak epicenter),Kerala Health Dept / MrMed Health
Shigellosis,June–July 2026 (as of June 18),"Wayanad District (Kerala State), India",~25 cases / school cluster,Kerala Health Dept / MrMed Health
Shigellosis,June–July 2026 (as of June 18),"Malappuram, Thrissur, Thiruvananthapuram (Kerala), India",~47 cumulative confirmed cases (5 deaths),Kerala Health Dept / MrMed Health
Shigellosis,June 2026 update (Active travel monitoring),"United Kingdom (England, Scotland, Wales), United Kingdom",112 confirmed cases (Travel-associated cluster from Cabo Verde),UKHSA / TravelHealthPro
Shigellosis,March–June 2026 update (Multicountry monitoring),"13 EU/EEA Countries (Germany, France, Sweden, Netherlands, etc.)",503 confirmed travel-associated cases (linked to Cabo Verde travel),European Centre for Disease Prevention and Control (ECDC)
Shigellosis,June–July 2026 (National surveillance),"Nationwide (All 50 States), United States","~8,000–9,000 weekly baseline cases (~8.5% identified as extensively drug-resistant, XDR)",U.S. CDC / MMWR Drug Resistance Report
Shigella,June–July 2026,"Kozhikode & Wayanad (Kerala), India",150+ confirmed cases (7 deaths),Kerala Health Dept / MrMed
Shigella,Mid-2026,"Sal & Boa Vista Islands, Cabo Verde",503 travel-imported cases across 13 EU countries,ECDC / TravelHealthPro
Shigella (XDR Strain),2026 Update,"Los Angeles, California, United States",Emerging genome-sequenced cluster,CIDRAP / UCLA Health
Shigella,Mid-2026,"Chicago Metro, Illinois, United States",Active state monitoring (~8.5% XDR rate),IL Patch / CDC MMWR
